task,model,parameters,full_resolution,method,budget_1_percent,budget_3_percent,budget_5_percent,budget_10_percent,budget_20_percent
Spoon on Towel,OpenVLA,7.5B,29.2,Uniform,0.0,8.3,16.7,20.8,25.0
Spoon on Towel,SpatialVLA,3B,20.8,Uniform,12.5,12.5,12.5,12.5,16.7
Spoon on Towel,UniVLA,7.6B,50.0,Uniform,33.3,37.5,41.7,41.7,45.8
Spoon on Towel,CronusVLA,0.5B,41.7,Uniform,16.7,29.2,29.2,37.5,41.7
Spoon on Towel,CronusVLA,0.5B,41.7,Foveated,20.8 (+4.2),25.0 (-4.2),25.0 (-4.2),29.2 (-8.3),33.3 (-8.3)
Spoon on Towel,CronusVLA,0.5B,41.7,Sunflower,33.3 (+16.7),37.5 (+8.3),33.3 (+4.2),50.0 (+12.5),50.0 (+8.3)
Spoon on Towel,CronusVLA,0.5B,41.7,SALISA,12.5 (-4.2),37.5 (+8.3),41.7 (+12.5),41.7 (+4.2),45.8 (+4.2)
Spoon on Towel,CronusVLA,0.5B,41.7,CORTAct focus,25.0 (+8.3),45.8 (+16.7),37.5 (+8.3),45.8 (+8.3),50.0 (+8.3)
Spoon on Towel,CronusVLA,0.5B,41.7,CORTAct context,25.0 (+8.3),33.3 (+4.2),29.2 (0.0),41.7 (+4.2),54.2 (+12.5)
Spoon on Towel,CronusVLA,0.5B,41.7,CORTAct,45.8 (+29.2),50.0 (+20.8),50.0 (+20.8),50.0 (+12.5),54.2 (+12.5)
Spoon on Towel,MiniVLA,1B,54.2,Uniform,0.0,0.0,12.5,41.7,54.2
Spoon on Towel,MiniVLA,1B,54.2,Foveated,0.0 (0.0),0.0 (0.0),0.0 (-12.5),4.2 (-37.5),20.8 (-33.3)
Spoon on Towel,MiniVLA,1B,54.2,Sunflower,0.0 (0.0),4.2 (+4.2),4.2 (-8.3),37.5 (-4.2),50.0 (-4.2)
Spoon on Towel,MiniVLA,1B,54.2,SALISA,0.0 (0.0),4.2 (+4.2),8.3 (-4.2),29.2 (-12.5),41.7 (-12.5)
Spoon on Towel,MiniVLA,1B,54.2,CORTAct focus,0.0 (0.0),4.2 (+4.2),33.3 (+20.8),54.2 (+12.5),62.5 (+8.3)
